"brand","categoryLabel","series","name","sourceUrl","puissanceNominaleKw","rendementPourcent","poidsKg","volumeChauffageM3","sortieFumees","dimensions","imageUrl","availabilityForBce"
"Kunst","Poêles à bois","Ebano","EBANO","https://kunststoves.com/fr/producto/ebano/","8.0","80.7","197","240","Ø 150-153 mm Verticale","550x1000x525 mm","https://kunststoves.com/wp-content/uploads/2023/01/EBANO-ambiente-WEB-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","Ebano","EBANO STORE","https://kunststoves.com/fr/producto/ebano-store/","8.0","80.7","263","240","Ø 150-153 mm Verticale","912x1000x525 mm","https://kunststoves.com/wp-content/uploads/2023/01/EBANO-STORE-ambiente-WEB-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","Ficus","FICUS","https://kunststoves.com/fr/producto/ficus/","7.5","80.7","137","230","Ø 150-153 mm Verticale","702x481x480 mm","https://kunststoves.com/wp-content/uploads/2023/01/FICUS-ambiente-WEB-1200x1200-2.jpg","propose"
"Kunst","Poêles à bois","Ficus","FICUS SIDE STORE","https://kunststoves.com/fr/producto/ficus-side-store/","7.5","80.7","160","230","Ø 150-153 mm Verticale","968x761x480 mm","https://kunststoves.com/wp-content/uploads/2023/01/FICUS-SIDE-STORE-ambiente-WEB-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","Ficus","FICUS STORE","https://kunststoves.com/fr/producto/ficus-store/","7.5","80.7","147","230","Ø 150-153 mm Verticale","968x481x480 mm","https://kunststoves.com/wp-content/uploads/2023/03/FICUS-STORE-ambiente-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","H","H-70","https://kunststoves.com/fr/producto/h-70/","6.9","80.7","85","200","Ø 150-153 mm Vertical","570x753x451 mm","https://kunststoves.com/wp-content/uploads/2025/05/H-70-AMBIENTE-WEB-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","H","H-80","https://kunststoves.com/fr/producto/h-80/","6.9","80.7","93","200","Ø 150-153 mm Vertical","570x853x451 mm","https://kunststoves.com/wp-content/uploads/2025/05/H-80-AMBIENTE-WEB-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","I","I-70","https://kunststoves.com/fr/producto/i-70/","6.7","80.7","105","200","Ø 150-153 mm Verticale","570x753x470 mm","https://kunststoves.com/wp-content/uploads/2023/01/H-70-ambiente-WEB-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","I","I-80","https://kunststoves.com/fr/producto/i-80/","6.9","80.7","113","200","Ø 150-153 mm Verticale","570x853x470 mm","https://kunststoves.com/wp-content/uploads/2023/03/I-80-ambiente-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","Quercus","QUERCUS","https://kunststoves.com/fr/producto/quercus/","7.0","80.7","177","210","Ø 150-153 mm Verticale","594x835x552 mm","https://kunststoves.com/wp-content/uploads/2023/01/QUERCUS-ambiente-WEB-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","Quercus","QUERCUS STORE","https://kunststoves.com/fr/producto/quercus-store/","7.0","80.7","232","210","Ø 150-153 mm Verticale","878x835x552 mm","https://kunststoves.com/wp-content/uploads/2023/01/QUERCUS-STORE-ambiente-WEB-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","Sequoia","SEQUOIA","https://kunststoves.com/fr/producto/sequoia/","7.9","80.7","200","240","Ø 150-153 mm Verticale","911x639x508 mm","https://kunststoves.com/wp-content/uploads/2023/01/SEQUOIA-ambiente-WEB-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","Sequoia","SEQUOIA SIDE STORE","https://kunststoves.com/fr/producto/sequoia-side-store/","7.9","80.7","225","240","Ø 150-153 mm Verticale","962x919x508 mm","https://kunststoves.com/wp-content/uploads/2023/01/SEQUOIA-SIDE-STORE-ambiente-WEB-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","Sequoia","SEQUOIA STORE","https://kunststoves.com/fr/producto/sequoia-store/","7.9","80.7","219","240","Ø 150-153 mm Verticale","1173x639x508 mm","https://kunststoves.com/wp-content/uploads/2023/03/SEQUOIA-STORE-ambiente-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","Vista","VISTA","https://kunststoves.com/fr/producto/vista/","9.3","75.0","175","280","Ø 200 mm Vertical","579x1000x467 mm","https://kunststoves.com/wp-content/uploads/2025/05/VISTA-AMBIENTE-WEB.jpg","propose"
"Kunst","Poêles à bois","Vista","VISTA PIE","https://kunststoves.com/fr/producto/vista-pie/","9.3","75.0","200","280","Ø 200 mm Vertical","920x1000x467 mm","https://kunststoves.com/wp-content/uploads/2025/05/VISTA-PIE-AMBIENTE-WEB.jpg","propose"
"Kunst","Poêles à bois","Vista","VISTA STORE","https://kunststoves.com/fr/producto/vista-store/","9.3","75.0","215","280","Ø 200 mm Vertical","920x1000x467 mm","https://kunststoves.com/wp-content/uploads/2025/05/VISTA-LENERO-AMBIENTE-WEB.jpg","propose"
"Kunst","Poêles à bois","Wengue","WENGUE","https://kunststoves.com/fr/producto/wengue/","5.8","80.7","115","175","Ø 150-153 mm Verticale","551x646x476 mm","https://kunststoves.com/wp-content/uploads/2023/01/WENGUE-ambiente-WEB-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","Wengue","WENGUE ASYMMETRIC STORE","https://kunststoves.com/fr/producto/wengue-asymmetric-store/","5.8","80.7","158","175","Ø 150-153 mm Verticale","817x983x476 mm","https://kunststoves.com/wp-content/uploads/2023/01/WENGUE-STORE-ASIMETRICO-ambiente-WEB-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","Wengue","WENGUE STORE","https://kunststoves.com/fr/producto/wengue-store/","5.8","80.7","146","175","Ø 150-153 mm Verticale","817x646x476 mm","https://kunststoves.com/wp-content/uploads/2023/01/WENGUE-STORE-ambiente-WEB-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","Wengue","YUCCA","https://kunststoves.com/fr/producto/yucca/","5.8","80.7","210","175","Ø 150-153 mm Verticale","1326x646x483 mm","https://kunststoves.com/wp-content/uploads/2025/05/YUCCA-AMBIENTE-WEB.jpg","propose"
"Kunst","Poêles à bois","Willow","WILLOW","https://kunststoves.com/fr/producto/willow/","8.0","80.7","155","240","Ø 150-153 mm Verticale","835x472x501 mm","https://kunststoves.com/wp-content/uploads/2023/03/WILLOW-ambiente-1200x1200-2.jpg","propose"
"Kunst","Poêles à bois","Willow","WILLOW STAND","https://kunststoves.com/fr/producto/willow-stand/","8.0","80.7","185","240","Ø 150-153 mm Verticale","1014x472x501 mm","https://kunststoves.com/wp-content/uploads/2023/01/WILLOW-STAND-ambiente-WEB-1200x1200-1.jpg","propose"
"Kunst","Poêles à bois","Willow","WILLOW STORE","https://kunststoves.com/fr/producto/willow-store/","8.0","80.7","191","240","Ø 150-153 mm Verticale","881x752x486 mm","https://kunststoves.com/wp-content/uploads/2023/01/WILLOW-STORE-ambiente-WEB-1200x1200-1.jpg","propose"
